id_funcionario,departmento,regiao,educacao,genero,canal_recrutamento,numero_treinamentos,idade,aval_ano_anterior,tempo_servico,promovido
65438,Marketing,Sudeste,Mestrado ou Doutorado,F,Outsourcing,1,35,5,8,0
65141,Logistica,Nordeste,Superior,M,Outro,1,30,5,4,0
7513,Marketing,Sudeste,Superior,M,Outsourcing,1,34,3,7,0
2542,Marketing,Norte,Superior,M,Outro,2,39,1,10,0
48945,Tecnologia,Nordeste,Superior,M,Outro,1,45,3,2,0
58896,Analytics,Sul,Superior,M,Outsourcing,2,31,3,7,0
20379,Logistica,Sul,Superior,F,Outro,1,31,3,5,0
16290,Logistica,Sudeste,Mestrado ou Doutorado,M,Outsourcing,1,33,3,6,0
73202,Analytics,Sul,Superior,M,Outro,1,28,4,5,0
28911,Marketing,Sudeste,Mestrado ou Doutorado,M,Outsourcing,1,32,5,5,0
29934,Tecnologia,Norte,,M,Outsourcing,1,30,,1,0
49017,Marketing,Sudeste,Superior,F,Outsourcing,1,35,5,3,1
60051,Marketing,Centro,Superior,M,Outsourcing,1,49,5,5,0
38401,Tecnologia,Sudeste,Mestrado ou Doutorado,M,Outro,2,39,3,16,0
77040,Pesquisa,Sul,Mestrado ou Doutorado,M,Outsourcing,1,37,3,7,0
43931,Logistica,Sudeste,Superior,M,Outro,1,37,1,10,0
7152,Tecnologia,Sul,Superior,M,Outro,1,38,3,5,0
9403,Marketing,Norte,Superior,M,Outro,1,34,1,4,0
17436,Marketing,Norte,Superior,M,Outro,1,34,5,8,0
54461,Logistica,Sul,Superior,M,Outro,1,37,3,9,0
12067,Contabilidade,Sudeste,Superior,M,Outro,1,35,3,7,0
33332,Logistica,Sul,,M,Outsourcing,1,41,4,11,0
58789,Finance,Sudeste,Superior,F,Outro,1,28,3,4,0
71177,Contabilidade,Sul,Superior,M,Outro,1,27,,1,0
52057,Finance,Nordeste,Mestrado ou Doutorado,M,Outsourcing,2,39,5,7,0
26585,Tecnologia,Nordeste,Superior,M,Outro,1,27,5,3,0
37749,Contabilidade,Nordeste,Superior,M,Outro,1,31,5,4,0
2370,Tecnologia,Nordeste,Superior,M,Outro,1,33,4,4,0
8219,Analytics,Sul,Superior,M,Outro,1,29,5,3,0
74759,Marketing,Centro,Superior,M,Outsourcing,1,26,,1,0
27395,Contabilidade,Sul,Superior,M,Outsourcing,1,37,5,10,0
58536,Finance,Norte,Superior,M,Outro,2,26,1,2,0
35465,Marketing,Sudeste,,F,Outsourcing,1,24,1,2,0
51756,Logistica,Sul,Superior,M,Outsourcing,2,57,4,6,0
57011,Analytics,Nordeste,Superior,M,Outro,2,27,5,3,0
77064,Marketing,Nordeste,Superior,M,Outro,1,40,2,4,0
64062,Tecnologia,Sul,Superior,M,Outsourcing,1,33,4,4,0
47123,Marketing,Sudeste,Superior,F,Outsourcing,1,40,5,3,0
56275,Marketing,Sudeste,Mestrado ou Doutorado,M,Outro,1,42,5,5,0
58304,Marketing,Sul,Superior,M,Outsourcing,1,33,5,6,1
25014,Tecnologia,Sul,Superior,M,Outro,1,34,3,10,0
40097,Logistica,Sul,Superior,F,Outro,2,23,4,2,0
23560,RH,Sul,Superior,M,Outsourcing,1,59,4,26,0
17423,Marketing,Sul,,M,Outro,3,24,2,2,0
61758,Analytics,Sul,Superior,M,Outro,1,44,5,12,0
75009,Contabilidade,Sul,Superior,F,Outsourcing,1,50,5,11,0
17876,Contabilidade,Nordeste,Mestrado ou Doutorado,F,Outro,1,37,4,4,0
36924,Tecnologia,Sudeste,Superior,M,Outsourcing,1,40,3,11,0
50408,Marketing,Sul,Superior,M,Outsourcing,1,30,3,3,0
18013,Contabilidade,Sul,Mestrado ou Doutorado,F,Outsourcing,1,56,3,12,0
24104,Finance,Sul,Superior,M,Outsourcing,1,20,4,2,0
32083,Marketing,Norte,Superior,F,Outsourcing,1,31,3,8,0
